epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,23557.7,0.75754,0.55923,1.04191,0.8894,0.47239,0.6863,0.50042,0.94819,0.72574,1.14158,0.000826,0.000826,0.000826
141,23742.4,0.72439,0.49968,1.00101,0.88918,0.47162,0.68579,0.49921,0.94771,0.72662,1.14181,0.00076,0.00076,0.00076
142,23910,0.70416,0.46308,0.98815,0.88794,0.47211,0.68533,0.49791,0.94739,0.72621,1.14247,0.000694,0.000694,0.000694
143,24067.7,0.69907,0.45704,0.98668,0.88904,0.47192,0.68542,0.4991,0.94726,0.72653,1.14279,0.000628,0.000628,0.000628
144,24243.2,0.69481,0.45462,0.98487,0.88783,0.47373,0.68572,0.49999,0.94716,0.72718,1.14334,0.000562,0.000562,0.000562
145,24412.1,0.68525,0.44528,0.97863,0.88999,0.47368,0.68651,0.50038,0.94817,0.72821,1.14473,0.000496,0.000496,0.000496
146,24575.2,0.68401,0.44309,0.97501,0.88973,0.475,0.68701,0.50044,0.94891,0.72891,1.14577,0.00043,0.00043,0.00043
147,24735,0.68232,0.4419,0.97354,0.8884,0.47686,0.68756,0.50064,0.94934,0.72978,1.14639,0.000364,0.000364,0.000364
148,24902.1,0.68179,0.44046,0.97623,0.8888,0.4787,0.68866,0.5006,0.94964,0.72949,1.14678,0.000298,0.000298,0.000298
149,25058.3,0.67712,0.43431,0.97031,0.88757,0.47948,0.68866,0.50161,0.9497,0.73008,1.14657,0.000232,0.000232,0.000232
150,25225.8,0.67954,0.43669,0.97421,0.88584,0.48078,0.6883,0.50083,0.94993,0.73064,1.14723,0.000166,0.000166,0.000166
